name,pop,classify
$PEOE-VSA_6$,0.482230846,charge
$PEOE-VSA_7$,0.129312669,charge
$N_{NHs/OHs}$,0.125844118,non-charge
$N_{AromaticCarbocycles}$,0.094957531,non-charge
$EState-VSA_5$,0.057627765,charge
$N_{HDonors}$,0.038475143,non-charge
$VSA-EState_8$,0.01264069,charge
$SMR-VSA_3$,0.012342469,charge
$VSA-EState_5$,0.010260122,charge
$EState-VSA_8$,0.009816188,charge
$VSA-EState_6$,0.009625106,charge
$N_{AromaticRings}$,0.005987197,non-charge
$Max_{q}$,0.004821354,charge
$Min_{q}$,0.004653413,charge
$qed$,0.004517418,non-charge
$PEOE-VSA_1$,0.004260153,charge
$Min_{EStateIndex}$,0.003794518,charge
$TSPA$,0.003554478,charge
$SMR-VSA_5$,0.003473096,charge
$VSA-EState_7$,0.003432679,charge
